sample_name	body_habita	collection_timestamp	date	description	dna_extracted	elevation	env_biome	env_feature	env_material	env_package	geo_loc_name	host_body_habitat	host_body_product	host_body_site	host_common_name	host_scientific_name	host_subject_id	host_taxid	latitude	location	loccat	longitude	physical_location	physical_specimen_location	physical_specimen_remaining	public	qiita_empo_1	qiita_empo_2	qiita_empo_3	qiita_study_id	sample_type	scientific_name	surcat	surface	title
10172.1	not applicable	12/5/12 12:00	12/5/12	NA.BLANK.-81	true	210.3	urban biome	research facility	sterile water	misc environment	USA:IL:Chicago	not applicable	not applicable	not applicable	not applicable	not applicable	NA.BLANK.-81	not applicable	41.47	not applicable	not applicable	-87.36	UChicago Center for Care and Discovery	U Chicago	false	true	Control	Negative	Sterile water blank	10172	blank control	metagenome	NA	BLANK	Hospital-associated microbiota and implications for nosocomial infections
10172.1000	not applicable	2/27/13 12:00	2/27/13	R9017.Cold Tap Faucet Handle.3	true	210.3	urban biome	hospital	surface layer	built environment	USA:IL:Chicago	not applicable	not applicable	not applicable	not applicable	not applicable	R9017.Cold Tap Faucet Handle.3	not applicable	41.47	r9017	r9017	-87.36	UChicago Center for Care and Discovery	U Chicago	false	true	Free-living	Non-saline	Surface (non-saline)	10172	Cold Tap Faucet Handle	indoor metagenome	Room_Surface	Cold Tap Faucet Handle	Hospital-associated microbiota and implications for nosocomial infections
10172.10000	not applicable	12/4/13 12:00	12/4/13	R10018.Bedrail.283	true	210.3	urban biome	hospital	surface layer	built environment	USA:IL:Chicago	not applicable	not applicable	not applicable	not applicable	not applicable	R10018.Bedrail.283	not applicable	41.47	r10018	r10018	-87.36	UChicago Center for Care and Discovery	U Chicago	false	true	Free-living	Non-saline	Surface (non-saline)	10172	Bedrail	indoor metagenome	Room_Surface	Bedrail	Hospital-associated microbiota and implications for nosocomial infections
10172.10001	not applicable	12/4/13 12:00	12/4/13	R10018.Glove from Glove Box.283	true	210.3	urban biome	hospital	surface layer	built environment	USA:IL:Chicago	not applicable	not applicable	not applicable	not applicable	not applicable	R10018.Glove from Glove Box.283	not applicable	41.47	r10018	r10018	-87.36	UChicago Center for Care and Discovery	U Chicago	false	true	Free-living	Non-saline	Surface (non-saline)	10172	Glove from Glove Box	indoor metagenome	Glove	Glove from Glove Box	Hospital-associated microbiota and implications for nosocomial infections
10172.10002	not applicable	12/4/13 12:00	12/4/13	R10018.Floor.283	true	210.3	urban biome	hospital	surface layer	built environment	USA:IL:Chicago	not applicable	not applicable	not applicable	not applicable	not applicable	R10018.Floor.283	not applicable	41.47	r10018	r10018	-87.36	UChicago Center for Care and Discovery	U Chicago	false	true	Free-living	Non-saline	Surface (non-saline)	10172	Floor	indoor metagenome	Room_Surface	Floor	Hospital-associated microbiota and implications for nosocomial infections
10172.10003	not applicable	12/4/13 12:00	12/4/13	R10018.Cold Tap Faucet Handle.283	true	210.3	urban biome	hospital	surface layer	built environment	USA:IL:Chicago	not applicable	not applicable	not applicable	not applicable	not applicable	R10018.Cold Tap Faucet Handle.283	not applicable	41.47	r10018	r10018	-87.36	UChicago Center for Care and Discovery	U Chicago	false	true	Free-living	Non-saline	Surface (non-saline)	10172	Cold Tap Faucet Handle	indoor metagenome	Room_Surface	Cold Tap Faucet Handle	Hospital-associated microbiota and implications for nosocomial infections
10172.10004	not applicable	12/4/13 12:00	12/4/13	S10.Countertop.283	true	210.3	urban biome	hospital	surface layer	built environment	USA:IL:Chicago	not applicable	not applicable	not applicable	not applicable	not applicable	S10.Countertop.283	not applicable	41.47	s10	s10	-87.36	UChicago Center for Care and Discovery	U Chicago	false	true	Free-living	Non-saline	Surface (non-saline)	10172	Countertop	indoor metagenome	Station_Surface	Countertop	Hospital-associated microbiota and implications for nosocomial infections
10172.10005	not applicable	12/4/13 12:00	12/4/13	S10.Computer Mouse.283	true	210.3	urban biome	hospital	surface layer	built environment	USA:IL:Chicago	not applicable	not applicable	not applicable	not applicable	not applicable	S10.Computer Mouse.283	not applicable	41.47	s10	s10	-87.36	UChicago Center for Care and Discovery	U Chicago	false	true	Free-living	Non-saline	Surface (non-saline)	10172	Computer Mouse	indoor metagenome	Station_Surface	Computer Mouse	Hospital-associated microbiota and implications for nosocomial infections
10172.10006	not applicable	12/4/13 12:00	12/4/13	S10.Station Phone.283	true	210.3	urban biome	hospital	surface layer	built environment	USA:IL:Chicago	not applicable	not applicable	not applicable	not applicable	not applicable	S10.Station Phone.283	not applicable	41.47	s10	s10	-87.36	UChicago Center for Care and Discovery	U Chicago	false	true	Free-living	Non-saline	Surface (non-saline)	10172	Station Phone	indoor metagenome	Station_Surface	Station Phone	Hospital-associated microbiota and implications for nosocomial infections
10172.10007	not applicable	12/4/13 12:00	12/4/13	S10.Chair Armrest.283	true	210.3	urban biome	hospital	surface layer	built environment	USA:IL:Chicago	not applicable	not applicable	not applicable	not applicable	not applicable	S10.Chair Armrest.283	not applicable	41.47	s10	s10	-87.36	UChicago Center for Care and Discovery	U Chicago	false	true	Free-living	Non-saline	Surface (non-saline)	10172	Chair Armrest	indoor metagenome	Station_Surface	Chair Armrest	Hospital-associated microbiota and implications for nosocomial infections
